CODAUTO	CPRO	CMUN	DC	NOMBRE 
09	43	904	4	Aldea, L'
07	40	012	2	Aldea Real
11	10	011	3	Aldeacentenera
07	37	013	5	Aldeacipreste
07	37	014	0	Aldeadávila de la Ribera
07	42	009	8	Aldealafuente
07	40	006	1	Aldealcorvo
07	40	007	7	Aldealengua de Pedraza
07	40	008	3	Aldealengua de Santa María
07	37	016	6	Aldealengua
07	42	010	2	Aldealices
07	42	011	9	Aldealpozo
07	42	012	4	Aldealseñor
07	47	007	2	Aldeamayor de San Martín
08	45	009	2	Aldeanueva de Barbarroya
17	26	008	6	Aldeanueva de Ebro
07	37	017	2	Aldeanueva de Figueroa
08	19	015	6	Aldeanueva de Guadalajara
07	40	009	6	Aldeanueva de la Serrezuela
07	37	018	8	Aldeanueva de la Sierra
11	10	014	9	Aldeanueva de la Vera
08	45	010	6	Aldeanueva de San Bartolomé
07	05	007	1	Aldeanueva de Santa Cruz
11	10	015	2	Aldeanueva del Camino
07	40	010	0	Aldeanueva del Codonal
01	23	004	7	Aldeaquemada
07	37	019	1	Aldearrodrigo
07	37	020	5	Aldearrubia
07	37	021	2	Aldeaseca de Alba
07	37	022	7	Aldeaseca de la Frontera
07	05	008	7	Aldeaseca
07	40	013	8	Aldeasoña
07	37	023	3	Aldeatejada
07	37	024	8	Aldeavieja de Tormes
07	40	014	3	Aldehorno
11	10	016	5	Aldehuela de Jerte
07	37	025	1	Aldehuela de la Bóveda
02	50	016	6	Aldehuela de Liestos
07	42	013	0	Aldehuela de Periáñez
07	37	026	4	Aldehuela de Yeltes
07	40	015	6	Aldehuela del Codonal
07	05	010	4	Aldehuela, La
07	42	014	5	Aldehuelas, Las
01	18	010	7	Aldeire
07	40	016	9	Aldeonte
09	43	006	9	Aldover
14	30	006	3	Aledo
16	20	005	2	Alegia
16	01	001	4	Alegría-Dulantzi
09	43	007	5	Aleixar, L'
09	08	003	9	Alella
07	42	015	8	Alentisque
02	22	019	0	Alerre
17	26	009	9	Alesanco
17	26	010	3	Alesón
01	18	011	4	Alfacar
10	46	022	9	Alfafar
10	03	010	6	Alfafara
02	50	017	2	Alfajarín
02	44	016	2	Alfambra
02	50	018	8	Alfamén
02	22	020	4	Alfántega
09	43	008	1	Alfara de Carles
10	46	024	0	Alfara de la Baronia
10	46	025	3	Alfara del Patriarca
07	49	005	2	Alfaraz de Sayago
01	29	003	8	Alfarnate
01	29	004	3	Alfarnatejo
17	26	011	0	Alfaro
10	46	026	6	Alfarp
09	25	013	8	Alfarràs
10	46	027	2	Alfarrasí
10	03	011	3	Alfàs del Pi, l'
10	46	023	5	Alfauir
09	25	014	3	Alfés
10	12	007	5	Alfondeguilla
09	43	009	4	Alforja
02	50	019	1	Alforque
07	09	011	9	Alfoz de Bricia
06	39	001	5	Alfoz de Lloredo
07	09	907	0	Alfoz de Quintanadueñas
07	09	012	4	Alfoz de Santa Gadea
12	27	002	3	Alfoz
01	41	007	4	Algaba, La
07	24	002	1	Algadefe
04	07	004	8	Algaida
01	41	008	0	Algámitas
08	19	016	9	Algar de Mesa
10	46	028	8	Algar de Palancia
01	11	003	3	Algar
01	18	012	9	Algarinejo
08	16	013	3	Algarra
01	29	005	6	Algarrobo
01	29	006	9	Algatocín
01	11	004	8	Algeciras
10	46	029	1	Algemesí
09	25	015	6	Algerri
13	28	009	1	Algete
10	46	030	5	Algímia d'Alfara
10	12	008	1	Algimia de Almonacid
10	46	031	2	Alginet
01	11	005	1	Algodonales
07	49	006	5	Algodre
08	19	017	5	Algora
10	03	012	8	Algorfa
09	25	016	9	Alguaire
14	30	007	9	Alguazas
10	03	013	4	Algueña
01	04	010	1	Alhabia
01	04	011	8	Alhama de Almería
02	50	020	5	Alhama de Aragón
01	18	013	5	Alhama de Granada
14	30	008	5	Alhama de Murcia
08	13	010	4	Alhambra
01	29	007	5	Alhaurín de la Torre
01	29	008	1	Alhaurín el Grande
01	18	014	0	Alhendín
08	19	018	1	Alhóndiga
11	10	017	1	Alía
02	44	017	8	Aliaga
08	16	014	8	Aliaguilla
10	03	014	9	Alicante/Alacant
01	18	015	3	Alicún de Ortega
01	04	012	3	Alicún
07	24	003	7	Alija del Infantado
09	25	017	5	Alins
09	43	010	8	Alió
08	19	019	4	Alique
11	10	018	7	Aliseda
07	42	016	1	Aliud
